snowpack,date,season,continent,region,resort,day_of_year
20,2020-03-02 00:00:00+00:00,2019,Europe,tuscany,abetone,62
24,2020-03-03 00:00:00+00:00,2019,Europe,tuscany,abetone,63
24,2020-03-04 00:00:00+00:00,2019,Europe,tuscany,abetone,64
24,2020-03-05 00:00:00+00:00,2019,Europe,tuscany,abetone,65
24,2020-03-06 00:00:00+00:00,2019,Europe,tuscany,abetone,66
28,2020-03-07 00:00:00+00:00,2019,Europe,tuscany,abetone,67
28,2020-03-09 00:00:00+00:00,2019,Europe,tuscany,abetone,69
28,2020-03-10 00:00:00+00:00,2019,Europe,tuscany,abetone,70
8,2018-11-29 00:00:00+00:00,2018,Europe,tuscany,abetone,333
8,2018-12-01 00:00:00+00:00,2018,Europe,tuscany,abetone,335
8,2018-12-03 00:00:00+00:00,2018,Europe,tuscany,abetone,337
8,2018-12-04 00:00:00+00:00,2018,Europe,tuscany,abetone,338
8,2018-12-05 00:00:00+00:00,2018,Europe,tuscany,abetone,339
8,2018-12-06 00:00:00+00:00,2018,Europe,tuscany,abetone,340
8,2018-12-07 00:00:00+00:00,2018,Europe,tuscany,abetone,341
8,2018-12-10 00:00:00+00:00,2018,Europe,tuscany,abetone,344
8,2018-12-11 00:00:00+00:00,2018,Europe,tuscany,abetone,345
8,2018-12-12 00:00:00+00:00,2018,Europe,tuscany,abetone,346
12,2018-12-13 00:00:00+00:00,2018,Europe,tuscany,abetone,347
12,2018-12-14 00:00:00+00:00,2018,Europe,tuscany,abetone,348
16,2018-12-15 00:00:00+00:00,2018,Europe,tuscany,abetone,349
16,2018-12-16 00:00:00+00:00,2018,Europe,tuscany,abetone,350
20,2018-12-17 00:00:00+00:00,2018,Europe,tuscany,abetone,351
20,2018-12-18 00:00:00+00:00,2018,Europe,tuscany,abetone,352
20,2018-12-19 00:00:00+00:00,2018,Europe,tuscany,abetone,353
20,2018-12-20 00:00:00+00:00,2018,Europe,tuscany,abetone,354
20,2018-12-21 00:00:00+00:00,2018,Europe,tuscany,abetone,355
16,2018-12-22 00:00:00+00:00,2018,Europe,tuscany,abetone,356
16,2018-12-24 00:00:00+00:00,2018,Europe,tuscany,abetone,358
16,2018-12-26 00:00:00+00:00,2018,Europe,tuscany,abetone,360
16,2018-12-27 00:00:00+00:00,2018,Europe,tuscany,abetone,361
16,2018-12-28 00:00:00+00:00,2018,Europe,tuscany,abetone,362
16,2018-12-29 00:00:00+00:00,2018,Europe,tuscany,abetone,363
16,2018-12-30 00:00:00+00:00,2018,Europe,tuscany,abetone,364
16,2018-12-31 00:00:00+00:00,2018,Europe,tuscany,abetone,365
16,2019-01-01 00:00:00+00:00,2018,Europe,tuscany,abetone,1
16,2019-01-02 00:00:00+00:00,2018,Europe,tuscany,abetone,2
16,2019-01-03 00:00:00+00:00,2018,Europe,tuscany,abetone,3
16,2019-01-04 00:00:00+00:00,2018,Europe,tuscany,abetone,4
16,2019-01-05 00:00:00+00:00,2018,Europe,tuscany,abetone,5
16,2019-01-07 00:00:00+00:00,2018,Europe,tuscany,abetone,7
16,2019-01-08 00:00:00+00:00,2018,Europe,tuscany,abetone,8
16,2019-01-09 00:00:00+00:00,2018,Europe,tuscany,abetone,9
16,2019-01-10 00:00:00+00:00,2018,Europe,tuscany,abetone,10
16,2019-01-11 00:00:00+00:00,2018,Europe,tuscany,abetone,11
16,2019-01-12 00:00:00+00:00,2018,Europe,tuscany,abetone,12
16,2019-01-13 00:00:00+00:00,2018,Europe,tuscany,abetone,13
16,2019-01-14 00:00:00+00:00,2018,Europe,tuscany,abetone,14
16,2019-01-15 00:00:00+00:00,2018,Europe,tuscany,abetone,15
16,2019-01-16 00:00:00+00:00,2018,Europe,tuscany,abetone,16
16,2019-01-17 00:00:00+00:00,2018,Europe,tuscany,abetone,17
24,2019-01-18 00:00:00+00:00,2018,Europe,tuscany,abetone,18
24,2019-01-19 00:00:00+00:00,2018,Europe,tuscany,abetone,19
24,2019-01-20 00:00:00+00:00,2018,Europe,tuscany,abetone,20
24,2019-01-21 00:00:00+00:00,2018,Europe,tuscany,abetone,21
24,2019-01-22 00:00:00+00:00,2018,Europe,tuscany,abetone,22
24,2019-01-23 00:00:00+00:00,2018,Europe,tuscany,abetone,23
26,2019-01-24 00:00:00+00:00,2018,Europe,tuscany,abetone,24
28,2019-01-25 00:00:00+00:00,2018,Europe,tuscany,abetone,25
28,2019-01-26 00:00:00+00:00,2018,Europe,tuscany,abetone,26
31,2019-01-28 00:00:00+00:00,2018,Europe,tuscany,abetone,28
31,2019-01-29 00:00:00+00:00,2018,Europe,tuscany,abetone,29
31,2019-01-30 00:00:00+00:00,2018,Europe,tuscany,abetone,30
35,2019-01-31 00:00:00+00:00,2018,Europe,tuscany,abetone,31
35,2019-02-01 00:00:00+00:00,2018,Europe,tuscany,abetone,32
35,2019-02-02 00:00:00+00:00,2018,Europe,tuscany,abetone,33
39,2019-02-04 00:00:00+00:00,2018,Europe,tuscany,abetone,35
39,2019-02-05 00:00:00+00:00,2018,Europe,tuscany,abetone,36
39,2019-02-06 00:00:00+00:00,2018,Europe,tuscany,abetone,37
39,2019-02-07 00:00:00+00:00,2018,Europe,tuscany,abetone,38
39,2019-02-08 00:00:00+00:00,2018,Europe,tuscany,abetone,39
39,2019-02-09 00:00:00+00:00,2018,Europe,tuscany,abetone,40
39,2019-02-11 00:00:00+00:00,2018,Europe,tuscany,abetone,42
39,2019-02-12 00:00:00+00:00,2018,Europe,tuscany,abetone,43
39,2019-02-13 00:00:00+00:00,2018,Europe,tuscany,abetone,44
39,2019-02-14 00:00:00+00:00,2018,Europe,tuscany,abetone,45
31,2019-02-15 00:00:00+00:00,2018,Europe,tuscany,abetone,46
39,2019-02-16 00:00:00+00:00,2018,Europe,tuscany,abetone,47
39,2019-02-18 00:00:00+00:00,2018,Europe,tuscany,abetone,49
39,2019-02-19 00:00:00+00:00,2018,Europe,tuscany,abetone,50
39,2019-02-20 00:00:00+00:00,2018,Europe,tuscany,abetone,51
39,2019-02-21 00:00:00+00:00,2018,Europe,tuscany,abetone,52
39,2019-02-22 00:00:00+00:00,2018,Europe,tuscany,abetone,53
39,2019-02-23 00:00:00+00:00,2018,Europe,tuscany,abetone,54
39,2019-02-25 00:00:00+00:00,2018,Europe,tuscany,abetone,56
39,2019-02-26 00:00:00+00:00,2018,Europe,tuscany,abetone,57
39,2019-02-27 00:00:00+00:00,2018,Europe,tuscany,abetone,58
39,2019-02-28 00:00:00+00:00,2018,Europe,tuscany,abetone,59
39,2019-03-01 00:00:00+00:00,2018,Europe,tuscany,abetone,60
35,2019-03-02 00:00:00+00:00,2018,Europe,tuscany,abetone,61
31,2019-03-04 00:00:00+00:00,2018,Europe,tuscany,abetone,63
31,2019-03-05 00:00:00+00:00,2018,Europe,tuscany,abetone,64
31,2019-03-06 00:00:00+00:00,2018,Europe,tuscany,abetone,65
31,2019-03-07 00:00:00+00:00,2018,Europe,tuscany,abetone,66
31,2019-03-08 00:00:00+00:00,2018,Europe,tuscany,abetone,67
31,2019-03-09 00:00:00+00:00,2018,Europe,tuscany,abetone,68
31,2019-03-11 00:00:00+00:00,2018,Europe,tuscany,abetone,70
31,2019-03-12 00:00:00+00:00,2018,Europe,tuscany,abetone,71
31,2019-03-13 00:00:00+00:00,2018,Europe,tuscany,abetone,72
31,2019-03-14 00:00:00+00:00,2018,Europe,tuscany,abetone,73
31,2019-03-15 00:00:00+00:00,2018,Europe,tuscany,abetone,74
31,2019-03-16 00:00:00+00:00,2018,Europe,tuscany,abetone,75
31,2019-03-18 00:00:00+00:00,2018,Europe,tuscany,abetone,77
31,2019-03-19 00:00:00+00:00,2018,Europe,tuscany,abetone,78
31,2019-03-20 00:00:00+00:00,2018,Europe,tuscany,abetone,79
31,2019-03-21 00:00:00+00:00,2018,Europe,tuscany,abetone,80
31,2019-03-22 00:00:00+00:00,2018,Europe,tuscany,abetone,81
31,2019-03-23 00:00:00+00:00,2018,Europe,tuscany,abetone,82
31,2019-03-25 00:00:00+00:00,2018,Europe,tuscany,abetone,84
28,2019-03-26 00:00:00+00:00,2018,Europe,tuscany,abetone,85
28,2019-03-27 00:00:00+00:00,2018,Europe,tuscany,abetone,86
28,2019-03-28 00:00:00+00:00,2018,Europe,tuscany,abetone,87
28,2019-03-29 00:00:00+00:00,2018,Europe,tuscany,abetone,88
28,2019-03-30 00:00:00+00:00,2018,Europe,tuscany,abetone,89
28,2019-04-01 00:00:00+00:00,2018,Europe,tuscany,abetone,91
28,2019-04-02 00:00:00+00:00,2018,Europe,tuscany,abetone,92
28,2019-04-03 00:00:00+00:00,2018,Europe,tuscany,abetone,93
24,2019-04-04 00:00:00+00:00,2018,Europe,tuscany,abetone,94
24,2019-04-05 00:00:00+00:00,2018,Europe,tuscany,abetone,95
24,2019-04-06 00:00:00+00:00,2018,Europe,tuscany,abetone,96
24,2019-04-08 00:00:00+00:00,2018,Europe,tuscany,abetone,98
24,2019-04-09 00:00:00+00:00,2018,Europe,tuscany,abetone,99
20,2019-04-10 00:00:00+00:00,2018,Europe,tuscany,abetone,100
20,2019-04-11 00:00:00+00:00,2018,Europe,tuscany,abetone,101
20,2019-04-12 00:00:00+00:00,2018,Europe,tuscany,abetone,102
20,2019-04-13 00:00:00+00:00,2018,Europe,tuscany,abetone,103
20,2019-04-15 00:00:00+00:00,2018,Europe,tuscany,abetone,105
20,2019-04-16 00:00:00+00:00,2018,Europe,tuscany,abetone,106
20,2019-04-17 00:00:00+00:00,2018,Europe,tuscany,abetone,107
20,2019-04-19 00:00:00+00:00,2018,Europe,tuscany,abetone,109
20,2019-04-20 00:00:00+00:00,2018,Europe,tuscany,abetone,110
20,2019-04-21 00:00:00+00:00,2018,Europe,tuscany,abetone,111
20,2019-04-23 00:00:00+00:00,2018,Europe,tuscany,abetone,113
20,2019-04-24 00:00:00+00:00,2018,Europe,tuscany,abetone,114
20,2019-04-26 00:00:00+00:00,2018,Europe,tuscany,abetone,116
12,2017-11-14 00:00:00+00:00,2017,Europe,tuscany,abetone,318
24,2017-11-16 00:00:00+00:00,2017,Europe,tuscany,abetone,320
24,2017-11-17 00:00:00+00:00,2017,Europe,tuscany,abetone,321
24,2017-11-18 00:00:00+00:00,2017,Europe,tuscany,abetone,322
24,2017-11-20 00:00:00+00:00,2017,Europe,tuscany,abetone,324
24,2017-11-21 00:00:00+00:00,2017,Europe,tuscany,abetone,325
24,2017-11-22 00:00:00+00:00,2017,Europe,tuscany,abetone,326
24,2017-11-23 00:00:00+00:00,2017,Europe,tuscany,abetone,327
20,2017-11-24 00:00:00+00:00,2017,Europe,tuscany,abetone,328
16,2017-11-25 00:00:00+00:00,2017,Europe,tuscany,abetone,329
12,2017-11-26 00:00:00+00:00,2017,Europe,tuscany,abetone,330
12,2017-11-27 00:00:00+00:00,2017,Europe,tuscany,abetone,331
12,2017-11-28 00:00:00+00:00,2017,Europe,tuscany,abetone,332
20,2017-11-29 00:00:00+00:00,2017,Europe,tuscany,abetone,333
20,2017-11-30 00:00:00+00:00,2017,Europe,tuscany,abetone,334
20,2017-12-01 00:00:00+00:00,2017,Europe,tuscany,abetone,335
24,2017-12-02 00:00:00+00:00,2017,Europe,tuscany,abetone,336
24,2017-12-03 00:00:00+00:00,2017,Europe,tuscany,abetone,337
24,2017-12-04 00:00:00+00:00,2017,Europe,tuscany,abetone,338
24,2017-12-05 00:00:00+00:00,2017,Europe,tuscany,abetone,339
24,2017-12-06 00:00:00+00:00,2017,Europe,tuscany,abetone,340
24,2017-12-07 00:00:00+00:00,2017,Europe,tuscany,abetone,341
24,2017-12-08 00:00:00+00:00,2017,Europe,tuscany,abetone,342
24,2017-12-09 00:00:00+00:00,2017,Europe,tuscany,abetone,343
24,2017-12-10 00:00:00+00:00,2017,Europe,tuscany,abetone,344
24,2017-12-11 00:00:00+00:00,2017,Europe,tuscany,abetone,345
20,2017-12-12 00:00:00+00:00,2017,Europe,tuscany,abetone,346
20,2017-12-13 00:00:00+00:00,2017,Europe,tuscany,abetone,347
20,2017-12-14 00:00:00+00:00,2017,Europe,tuscany,abetone,348
20,2017-12-15 00:00:00+00:00,2017,Europe,tuscany,abetone,349
28,2017-12-16 00:00:00+00:00,2017,Europe,tuscany,abetone,350
28,2017-12-17 00:00:00+00:00,2017,Europe,tuscany,abetone,351
31,2017-12-18 00:00:00+00:00,2017,Europe,tuscany,abetone,352
31,2017-12-19 00:00:00+00:00,2017,Europe,tuscany,abetone,353
31,2017-12-20 00:00:00+00:00,2017,Europe,tuscany,abetone,354
31,2017-12-21 00:00:00+00:00,2017,Europe,tuscany,abetone,355
31,2017-12-22 00:00:00+00:00,2017,Europe,tuscany,abetone,356
31,2017-12-23 00:00:00+00:00,2017,Europe,tuscany,abetone,357
31,2017-12-24 00:00:00+00:00,2017,Europe,tuscany,abetone,358
31,2017-12-26 00:00:00+00:00,2017,Europe,tuscany,abetone,360
39,2017-12-27 00:00:00+00:00,2017,Europe,tuscany,abetone,361
51,2017-12-28 00:00:00+00:00,2017,Europe,tuscany,abetone,362
51,2017-12-29 00:00:00+00:00,2017,Europe,tuscany,abetone,363
51,2017-12-30 00:00:00+00:00,2017,Europe,tuscany,abetone,364
51,2017-12-31 00:00:00+00:00,2017,Europe,tuscany,abetone,365
51,2018-01-02 00:00:00+00:00,2017,Europe,tuscany,abetone,2
51,2018-01-03 00:00:00+00:00,2017,Europe,tuscany,abetone,3
51,2018-01-04 00:00:00+00:00,2017,Europe,tuscany,abetone,4
51,2018-01-05 00:00:00+00:00,2017,Europe,tuscany,abetone,5
51,2018-01-06 00:00:00+00:00,2017,Europe,tuscany,abetone,6
51,2018-01-07 00:00:00+00:00,2017,Europe,tuscany,abetone,7
51,2018-01-08 00:00:00+00:00,2017,Europe,tuscany,abetone,8
47,2018-01-09 00:00:00+00:00,2017,Europe,tuscany,abetone,9
43,2018-01-10 00:00:00+00:00,2017,Europe,tuscany,abetone,10
43,2018-01-11 00:00:00+00:00,2017,Europe,tuscany,abetone,11
43,2018-01-12 00:00:00+00:00,2017,Europe,tuscany,abetone,12
43,2018-01-13 00:00:00+00:00,2017,Europe,tuscany,abetone,13
43,2018-01-14 00:00:00+00:00,2017,Europe,tuscany,abetone,14
43,2018-01-15 00:00:00+00:00,2017,Europe,tuscany,abetone,15
43,2018-01-16 00:00:00+00:00,2017,Europe,tuscany,abetone,16
43,2018-01-17 00:00:00+00:00,2017,Europe,tuscany,abetone,17
43,2018-01-18 00:00:00+00:00,2017,Europe,tuscany,abetone,18
43,2018-01-19 00:00:00+00:00,2017,Europe,tuscany,abetone,19
43,2018-01-20 00:00:00+00:00,2017,Europe,tuscany,abetone,20
